Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,011008,1965,0.0,8.7,0.0,0.0,12.7,46.6,11.1,30.0,17.6,15.7,0.0,0.0,142.4
IDCJAC0001,011008,1966,2.3,7.9,17.1,10.1,22.1,75.2,1.8,19.3,11.6,12.0,14.0,41.0,234.4
IDCJAC0001,011008,1967,72.3,25.2,9.3,29.8,29.1,10.0,36.4,17.4,15.5,27.0,8.7,1.0,281.7
IDCJAC0001,011008,1968,23.1,53.9,58.1,51.0,16.3,75.5,36.8,25.9,23.4,0.8,4.1,32.8,401.7
IDCJAC0001,011008,1969,67.2,8.0,38.5,7.7,37.5,13.1,22.4,13.9,24.8,16.1,1.0,1.5,251.7
IDCJAC0001,011008,1970,0.3,5.2,5.8,41.0,29.7,6.7,11.9,34.8,42.9,1.5,8.1,12.5,200.4
IDCJAC0001,011008,1971,2.4,5.1,30.6,18.0,16.6,13.0,10.4,21.3,8.1,10.7,33.8,6.2,176.2
IDCJAC0001,011008,1972,22.4,5.2,null,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,011008,1984,0.0,0.0,10.2,0.0,0.0,0.0,58.0,40.9,36.0,29.7,0.0,0.0,174.8
IDCJAC0001,011008,1985,13.0,0.0,111.0,0.0,22.2,6.8,23.5,41.7,7.0,35.8,20.5,4.7,286.2
IDCJAC0001,011008,1986,46.0,4.0,2.5,8.0,23.0,75.0,0.0,23.0,0.0,0.0,9.5,11.2,202.2
IDCJAC0001,011008,1987,42.9,20.5,2.8,4.8,18.4,17.6,6.4,11.0,10.2,12.0,5.1,16.3,168.0
IDCJAC0001,011008,1988,3.3,26.7,8.6,35.3,32.4,22.6,2.9,12.8,6.9,0.5,17.3,102.4,271.7
IDCJAC0001,011008,1989,3.5,0.0,14.7,56.9,37.9,50.6,28.5,9.8,0.0,0.0,0.0,11.7,213.6
IDCJAC0001,011008,1990,17.8,27.8,2.0,18.8,31.6,36.0,28.4,22.0,10.6,16.4,0.0,13.4,224.8
IDCJAC0001,011008,1991,10.2,0.0,5.2,24.4,49.8,28.8,27.8,5.0,5.0,2.0,2.2,24.4,184.8
IDCJAC0001,011008,1992,0.4,8.6,47.4,36.6,20.4,30.8,6.2,36.6,44.8,32.2,29.0,33.6,326.6
IDCJAC0001,011008,1993,14.8,3.2,13.8,15.6,33.8,26.8,40.0,74.6,22.4,19.8,29.8,20.0,314.6
IDCJAC0001,011008,1994,2.0,55.1,3.4,0.0,16.8,15.0,16.0,4.2,7.6,4.2,10.2,165.4,299.9
IDCJAC0001,011008,1995,3.0,28.2,30.6,34.0,33.2,12.2,27.0,4.6,64.4,10.8,13.4,20.2,281.6
IDCJAC0001,011008,1996,0.2,5.8,20.6,31.2,2.2,35.2,47.2,36.4,60.8,16.4,0.4,2.8,259.2
IDCJAC0001,011008,1997,9.0,4.2,8.4,10.8,22.0,7.6,7.8,10.4,49.6,11.4,8.6,51.8,201.6
IDCJAC0001,011008,1998,0.0,0.0,3.8,17.2,25.2,32.1,57.4,18.2,14.1,25.1,49.7,17.5,260.3
IDCJAC0001,011008,1999,21.1,16.0,33.4,14.1,6.3,19.5,13.8,16.6,38.5,11.8,23.6,26.8,241.5
IDCJAC0001,011008,2000,147.2,20.2,67.0,9.7,9.1,16.1,17.4,45.7,5.1,19.5,28.4,7.6,393.0
IDCJAC0001,011008,2001,18.2,80.2,18.4,1.7,23.3,63.9,27.7,28.7,25.2,12.1,14.6,37.5,351.5
IDCJAC0001,011008,2002,8.9,7.9,5.3,26.6,20.5,10.4,4.7,7.6,5.5,0.5,10.7,44.0,152.6
